"resource","consumer"
"Species 235","Species 55"
"Species 236","Species 55"
"Species 237","Species 55"
"Species 239","Species 55"
"Species 281","Species 55"
"Species 242","Species 55"
"Species 243","Species 55"
"Species 244","Species 55"
"Species 247","Species 55"
"Species 248","Species 55"
"Species 252","Species 55"
"Species 253","Species 55"
"Species 259","Species 55"
"Species 265","Species 55"
"Species 268","Species 55"
"Species 269","Species 55"
"Species 270","Species 55"
"Species 271","Species 55"
"Species 272","Species 55"
"Species 273","Species 55"
"Species 274","Species 55"
"Species 275","Species 55"
"Species 276","Species 55"
"Species 277","Species 55"
"Species 282","Species 55"
"Species 278","Species 55"
"Species 2","Species 56"
"Species 2","Species 57"
"Species 95","Species 58"
"Species 100","Species 58"
"Species 244","Species 58"
"Species 247","Species 58"
"Species 248","Species 58"
"Species 259","Species 58"
"Species 276","Species 58"
"Species 283","Species 58"
"Species 286","Species 58"
"Species 287","Species 58"
"Species 288","Species 58"
"Species 289","Species 58"
"Species 290","Species 58"
"Species 293","Species 58"
"Species 310","Species 58"
"Species 313","Species 58"
"Species 6","Species 59"
"Species 12","Species 59"
"Species 22","Species 59"
"Species 23","Species 59"
"Species 26","Species 59"
"Species 27","Species 59"
"Species 28","Species 59"
"Species 29","Species 59"
"Species 30","Species 59"
"Species 31","Species 59"
"Species 32","Species 59"
"Species 33","Species 59"
"Species 45","Species 59"
"Species 46","Species 59"
"Species 59","Species 59"
"Species 60","Species 59"
"Species 61","Species 59"
"Species 62","Species 59"
"Species 63","Species 59"
"Species 64","Species 59"
"Species 68","Species 59"
"Species 69","Species 59"
"Species 71","Species 59"
"Species 73","Species 59"
"Species 74","Species 59"
"Species 233","Species 59"
"Species 234","Species 59"
"Species 235","Species 59"
"Species 236","Species 59"
"Species 237","Species 59"
"Species 238","Species 59"
"Species 239","Species 59"
"Species 281","Species 59"
"Species 242","Species 59"
"Species 243","Species 59"
"Species 244","Species 59"
"Species 245","Species 59"
"Species 246","Species 59"
"Species 247","Species 59"
"Species 248","Species 59"
"Species 250","Species 59"
"Species 252","Species 59"
"Species 253","Species 59"
"Species 258","Species 59"
"Species 259","Species 59"
"Species 260","Species 59"
"Species 261","Species 59"
"Species 264","Species 59"
"Species 265","Species 59"
"Species 266","Species 59"
"Species 267","Species 59"
"Species 268","Species 59"
"Species 269","Species 59"
"Species 270","Species 59"
"Species 271","Species 59"
"Species 272","Species 59"
"Species 273","Species 59"
"Species 274","Species 59"
"Species 275","Species 59"
"Species 276","Species 59"
"Species 277","Species 59"
"Species 282","Species 59"
"Species 278","Species 59"
"Species 6","Species 60"
"Species 12","Species 60"
"Species 22","Species 60"
"Species 23","Species 60"
"Species 26","Species 60"
"Species 27","Species 60"
"Species 28","Species 60"
"Species 29","Species 60"
"Species 30","Species 60"
"Species 31","Species 60"
"Species 32","Species 60"
"Species 33","Species 60"
"Species 45","Species 60"
"Species 46","Species 60"
"Species 59","Species 60"
"Species 60","Species 60"
"Species 61","Species 60"
"Species 62","Species 60"
"Species 63","Species 60"
"Species 64","Species 60"
"Species 68","Species 60"
"Species 69","Species 60"
"Species 71","Species 60"
"Species 73","Species 60"
"Species 74","Species 60"
"Species 233","Species 60"
"Species 234","Species 60"
"Species 235","Species 60"
"Species 236","Species 60"
"Species 237","Species 60"
"Species 238","Species 60"
"Species 239","Species 60"
"Species 281","Species 60"
"Species 242","Species 60"
"Species 243","Species 60"
"Species 244","Species 60"
"Species 245","Species 60"
"Species 246","Species 60"
"Species 247","Species 60"
"Species 248","Species 60"
"Species 250","Species 60"
"Species 252","Species 60"
"Species 253","Species 60"
"Species 258","Species 60"
"Species 259","Species 60"
"Species 260","Species 60"
"Species 261","Species 60"
"Species 264","Species 60"
"Species 265","Species 60"
"Species 266","Species 60"
"Species 267","Species 60"
"Species 268","Species 60"
"Species 269","Species 60"
"Species 270","Species 60"
"Species 271","Species 60"
"Species 272","Species 60"
"Species 273","Species 60"
