"node","taxa.ID","nodeID","Lifestyle","n.lifestages","LS"
"Species 256","Species 256",366.666666666667,"infectious",3,1
"Species 257","Species 257",360.5,"infectious",4,1
"Species 259","Species 259",362.25,"infectious",4,1
"Species 260","Species 260",370.666666666667,"infectious",3,1
"Species 262","Species 262",372.666666666667,"infectious",3,1
"Species 263","Species 263",373.666666666667,"infectious",3,1
"Species 265","Species 265",367.25,"infectious",4,1
"Species 266","Species 266",361,"infectious",4,1
"Species 268","Species 268",369.75,"infectious",4,1
"Species 269","Species 269",370.75,"infectious",4,1
"Species 271","Species 271",372.5,"infectious",4,1
"Species 272","Species 272",373.5,"infectious",4,1
"Species 273","Species 273",374.5,"infectious",4,1
"Species 274","Species 274",384.333333333333,"infectious",3,1
"Species 275","Species 275",376.25,"infectious",4,1
"Species 276","Species 276",377.25,"infectious",4,1
"Species 277","Species 277",378.25,"infectious",4,1
"Species 279","Species 279",389.333333333333,"infectious",3,1
"Species 283","Species 283",453.333333333333,"infectious",3,1
"Species 287","Species 287",457,"infectious",3,1
"Species 288","Species 288",458,"infectious",3,1
"Species 290","Species 290",460,"infectious",3,1
"Species 293","Species 293",474.5,"infectious",2,1
"Species 294","Species 294",475.5,"infectious",2,1
"Species 295","Species 295",472,"infectious",1,0
"Species 301","Species 301",478,"infectious",1,0
"Species 303","Species 303",484,"infectious",2,1
"Species 305","Species 305",486,"infectious",2,1
"Species 309","Species 309",492,"infectious",1,0
"Species 310","Species 310",495,"infectious",2,1
"Species 311","Species 311",494,"infectious",1,0
