"node","taxa.ID","nodeID","Lifestyle","n.lifestages","n.LS"
"Species 274","Species 228",274,"infectious",1,0
"Species 277","Species 231",277,"infectious",1,0
"Species 279","Species 233",279,"infectious",4,1
"Species 280","Species 234",280,"infectious",4,1
"Species 281","Species 235",281,"infectious",3,1
"Species 283","Species 237",283,"infectious",4,1
"Species 284","Species 238",284,"infectious",4,1
"Species 285","Species 239",285,"infectious",4,1
"Species 286","Species 240",286,"infectious",3,1
"Species 287","Species 241",287,"infectious",2,1
"Species 290","Species 244",290,"infectious",3,1
"Species 291","Species 245",291,"infectious",4,1
"Species 292","Species 246",292,"infectious",4,1
"Species 293","Species 247",293,"infectious",4,1
"Species 294","Species 248",294,"infectious",3,1
"Species 296","Species 250",296,"infectious",4,1
"Species 300","Species 254",300,"infectious",3,1
"Species 302","Species 256",302,"infectious",3,1
"Species 303","Species 257",303,"infectious",4,1
"Species 305","Species 259",305,"infectious",4,1
"Species 306","Species 260",306,"infectious",3,1
"Species 308","Species 262",308,"infectious",3,1
"Species 309","Species 263",309,"infectious",3,1
"Species 311","Species 265",311,"infectious",4,1
"Species 312","Species 266",312,"infectious",4,1
"Species 314","Species 268",314,"infectious",4,1
"Species 315","Species 269",315,"infectious",4,1
"Species 317","Species 271",317,"infectious",4,1
"Species 318","Species 272",318,"infectious",4,1
"Species 319","Species 273",319,"infectious",4,1
"Species 320","Species 274",320,"infectious",3,1
"Species 321","Species 275",321,"infectious",4,1
"Species 322","Species 276",322,"infectious",4,1
"Species 323","Species 277",323,"infectious",4,1
"Species 325","Species 279",325,"infectious",3,1
"Species 327","Species 233",327,"infectious",4,1
"Species 328","Species 234",328,"infectious",4,1
"Species 329","Species 235",329,"infectious",3,1
"Species 331","Species 237",331,"infectious",4,1
"Species 332","Species 238",332,"infectious",4,1
"Species 333","Species 239",333,"infectious",4,1
"Species 335","Species 245",335,"infectious",4,1
"Species 336","Species 246",336,"infectious",4,1
"Species 337","Species 247",337,"infectious",4,1
"Species 338","Species 250",338,"infectious",4,1
"Species 339","Species 257",339,"infectious",4,1
"Species 340","Species 259",340,"infectious",4,1
"Species 342","Species 265",342,"infectious",4,1
"Species 343","Species 266",343,"infectious",4,1
"Species 344","Species 268",344,"infectious",4,1
"Species 345","Species 269",345,"infectious",4,1
"Species 346","Species 271",346,"infectious",4,1
"Species 347","Species 272",347,"infectious",4,1
"Species 348","Species 273",348,"infectious",4,1
"Species 349","Species 275",349,"infectious",4,1
"Species 350","Species 276",350,"infectious",4,1
"Species 351","Species 277",351,"infectious",4,1
"Species 353","Species 233",353,"infectious",4,1
"Species 354","Species 234",354,"infectious",4,1
"Species 355","Species 235",355,"infectious",3,1
"Species 357","Species 237",357,"infectious",4,1
"Species 358","Species 238",358,"infectious",4,1
"Species 359","Species 239",359,"infectious",4,1
"Species 360","Species 240",360,"infectious",3,1
"Species 364","Species 244",364,"infectious",3,1
"Species 365","Species 245",365,"infectious",4,1
"Species 366","Species 246",366,"infectious",4,1
"Species 367","Species 247",367,"infectious",4,1
"Species 368","Species 248",368,"infectious",3,1
"Species 369","Species 250",369,"infectious",4,1
"Species 373","Species 254",373,"infectious",3,1
"Species 375","Species 256",375,"infectious",3,1
"Species 376","Species 257",376,"infectious",4,1
"Species 378","Species 259",378,"infectious",4,1
"Species 379","Species 260",379,"infectious",3,1
"Species 381","Species 262",381,"infectious",3,1
"Species 382","Species 263",382,"infectious",3,1
"Species 384","Species 265",384,"infectious",4,1
"Species 385","Species 266",385,"infectious",4,1
"Species 387","Species 268",387,"infectious",4,1
"Species 388","Species 269",388,"infectious",4,1
"Species 390","Species 271",390,"infectious",4,1
"Species 391","Species 272",391,"infectious",4,1
"Species 392","Species 273",392,"infectious",4,1
"Species 393","Species 274",393,"infectious",3,1
"Species 394","Species 275",394,"infectious",4,1
"Species 395","Species 276",395,"infectious",4,1
"Species 396","Species 277",396,"infectious",4,1
"Species 399","Species 279",399,"infectious",3,1
"Species 401","Species 237",401,"infectious",4,1
"Species 402","Species 238",402,"infectious",4,1
"Species 403","Species 245",403,"infectious",4,1
"Species 404","Species 266",404,"infectious",4,1
"Species 406","Species 233",406,"infectious",4,1
"Species 407","Species 234",407,"infectious",4,1
"Species 408","Species 239",408,"infectious",4,1
"Species 409","Species 240",409,"infectious",3,1
"Species 410","Species 241",410,"infectious",2,1
"Species 413","Species 244",413,"infectious",3,1
"Species 414","Species 246",414,"infectious",4,1
"Species 415","Species 247",415,"infectious",4,1
"Species 416","Species 248",416,"infectious",3,1
"Species 417","Species 250",417,"infectious",4,1
"Species 421","Species 254",421,"infectious",3,1
"Species 423","Species 256",423,"infectious",3,1
"Species 424","Species 257",424,"infectious",4,1
"Species 426","Species 259",426,"infectious",4,1
"Species 427","Species 260",427,"infectious",3,1
"Species 429","Species 262",429,"infectious",3,1
"Species 430","Species 263",430,"infectious",3,1
"Species 432","Species 265",432,"infectious",4,1
"Species 434","Species 268",434,"infectious",4,1
"Species 435","Species 269",435,"infectious",4,1
"Species 437","Species 271",437,"infectious",4,1
"Species 438","Species 272",438,"infectious",4,1
"Species 439","Species 273",439,"infectious",4,1
"Species 440","Species 274",440,"infectious",3,1
"Species 441","Species 275",441,"infectious",4,1
"Species 442","Species 276",442,"infectious",4,1
"Species 443","Species 277",443,"infectious",4,1
"Species 444","Species 279",444,"infectious",3,1
"Species 446","Species 283",446,"infectious",3,1
"Species 450","Species 287",450,"infectious",3,1
"Species 451","Species 288",451,"infectious",3,1
"Species 453","Species 290",453,"infectious",3,1
"Species 454","Species 283",454,"infectious",3,1
"Species 456","Species 287",456,"infectious",3,1
"Species 457","Species 288",457,"infectious",3,1
"Species 459","Species 290",459,"infectious",3,1
"Species 460","Species 283",460,"infectious",3,1
"Species 465","Species 287",465,"infectious",3,1
"Species 466","Species 288",466,"infectious",3,1
"Species 468","Species 290",468,"infectious",3,1
"Species 470","Species 293",470,"infectious",2,1
"Species 471","Species 294",471,"infectious",2,1
"Species 472","Species 295",472,"infectious",1,0
"Species 478","Species 301",478,"infectious",1,0
"Species 479","Species 293",479,"infectious",2,1
"Species 480","Species 294",480,"infectious",2,1
"Species 482","Species 303",482,"infectious",2,1
"Species 484","Species 305",484,"infectious",2,1
"Species 486","Species 303",486,"infectious",2,1
"Species 488","Species 305",488,"infectious",2,1
"Species 492","Species 309",492,"infectious",1,0
"Species 493","Species 310",493,"infectious",2,1
"Species 494","Species 311",494,"infectious",1,0
"Species 497","Species 310",497,"infectious",2,1
