"resource","consumer"
"Species 209","Species 126"
"Species 210","Species 126"
"Species 211","Species 126"
"Species 212","Species 126"
"Species 213","Species 126"
"Species 214","Species 126"
"Species 215","Species 126"
"Species 217","Species 126"
"Species 218","Species 126"
"Species 221","Species 126"
"Species 222","Species 126"
"Species 224","Species 126"
"Species 225","Species 126"
"Species 227","Species 126"
"Species 231","Species 126"
"Species 232","Species 126"
"Species 233","Species 126"
"Species 234","Species 126"
"Species 235","Species 126"
"Species 236","Species 126"
"Species 237","Species 126"
"Species 238","Species 126"
"Species 239","Species 126"
"Species 242","Species 126"
"Species 244","Species 126"
"Species 249","Species 126"
"Species 252","Species 126"
"Species 253","Species 126"
"Species 254","Species 126"
"Species 255","Species 126"
"Species 273","Species 126"
"Species 3","Species 128"
"Species 2","Species 129"
"Species 191","Species 130"
"Species 192","Species 130"
"Species 193","Species 130"
"Species 194","Species 130"
"Species 198","Species 130"
"Species 199","Species 130"
"Species 202","Species 130"
"Species 203","Species 130"
"Species 204","Species 130"
"Species 206","Species 130"
"Species 208","Species 130"
"Species 209","Species 130"
"Species 210","Species 130"
"Species 211","Species 130"
"Species 212","Species 130"
"Species 213","Species 130"
"Species 214","Species 130"
"Species 215","Species 130"
"Species 217","Species 130"
"Species 218","Species 130"
"Species 221","Species 130"
"Species 222","Species 130"
"Species 224","Species 130"
"Species 225","Species 130"
"Species 227","Species 130"
"Species 231","Species 130"
"Species 232","Species 130"
"Species 233","Species 130"
"Species 234","Species 130"
"Species 235","Species 130"
"Species 236","Species 130"
"Species 237","Species 130"
"Species 238","Species 130"
"Species 239","Species 130"
"Species 242","Species 130"
"Species 244","Species 130"
"Species 249","Species 130"
"Species 252","Species 130"
"Species 253","Species 130"
"Species 254","Species 130"
"Species 255","Species 130"
"Species 273","Species 130"
"Species 2","Species 131"
"Species 6","Species 131"
"Species 10","Species 131"
"Species 12","Species 132"
"Species 1","Species 134"
"Species 2","Species 134"
"Species 6","Species 134"
"Species 2","Species 136"
"Species 6","Species 136"
"Species 10","Species 136"
"Species 2","Species 137"
"Species 6","Species 137"
"Species 10","Species 137"
"Species 2","Species 138"
"Species 6","Species 138"
"Species 10","Species 138"
"Species 2","Species 140"
"Species 2","Species 141"
"Species 6","Species 141"
"Species 10","Species 141"
"Species 2","Species 143"
"Species 6","Species 143"
"Species 2","Species 144"
"Species 12","Species 144"
"Species 2","Species 145"
"Species 6","Species 145"
"Species 10","Species 145"
"Species 2","Species 147"
"Species 6","Species 147"
"Species 2","Species 148"
"Species 2","Species 149"
"Species 3","Species 149"
"Species 2","Species 150"
"Species 6","Species 150"
"Species 2","Species 151"
"Species 3","Species 151"
"Species 2","Species 152"
"Species 3","Species 152"
"Species 2","Species 154"
"Species 6","Species 154"
"Species 2","Species 157"
"Species 12","Species 157"
"Species 1","Species 160"
"Species 2","Species 160"
"Species 3","Species 160"
"Species 6","Species 160"
"Species 10","Species 160"
"Species 14","Species 160"
"Species 15","Species 160"
"Species 16","Species 160"
"Species 20","Species 160"
"Species 24","Species 160"
"Species 25","Species 160"
"Species 26","Species 160"
"Species 29","Species 160"
"Species 34","Species 160"
"Species 35","Species 160"
"Species 36","Species 160"
"Species 37","Species 160"
"Species 38","Species 160"
"Species 39","Species 160"
"Species 40","Species 160"
"Species 41","Species 160"
"Species 42","Species 160"
"Species 43","Species 160"
"Species 45","Species 160"
"Species 72","Species 160"
"Species 77","Species 160"
"Species 90","Species 160"
"Species 115","Species 160"
"Species 117","Species 160"
"Species 119","Species 160"
"Species 122","Species 160"
"Species 131","Species 160"
"Species 136","Species 160"
"Species 137","Species 160"
"Species 138","Species 160"
"Species 141","Species 160"
"Species 145","Species 160"
"Species 147","Species 160"
"Species 154","Species 160"
"Species 156","Species 160"
"Species 262","Species 160"
"Species 327","Species 160"
"Species 329","Species 160"
"Species 331","Species 160"
"Species 332","Species 160"
"Species 333","Species 160"
"Species 335","Species 160"
"Species 336","Species 160"
"Species 337","Species 160"
"Species 338","Species 160"
"Species 339","Species 160"
"Species 340","Species 160"
"Species 342","Species 160"
"Species 343","Species 160"
"Species 344","Species 160"
"Species 345","Species 160"
"Species 346","Species 160"
"Species 347","Species 160"
"Species 348","Species 160"
"Species 349","Species 160"
"Species 350","Species 160"
"Species 351","Species 160"
"Species 401","Species 160"
"Species 402","Species 160"
"Species 403","Species 160"
"Species 404","Species 160"
"Species 406","Species 160"
"Species 407","Species 160"
"Species 414","Species 160"
"Species 417","Species 160"
"Species 421","Species 160"
"Species 423","Species 160"
"Species 424","Species 160"
"Species 426","Species 160"
"Species 427","Species 160"
"Species 435","Species 160"
"Species 440","Species 160"
"Species 442","Species 160"
"Species 2","Species 164"
"Species 10","Species 164"
"Species 21","Species 164"
"Species 49","Species 164"
"Species 50","Species 164"
"Species 51","Species 164"
"Species 54","Species 164"
"Species 59","Species 164"
"Species 60","Species 164"
"Species 61","Species 164"
"Species 62","Species 164"
"Species 63","Species 164"
"Species 64","Species 164"
"Species 65","Species 164"
"Species 66","Species 164"
"Species 67","Species 164"
"Species 69","Species 164"
"Species 106","Species 164"
"Species 132","Species 164"
"Species 144","Species 164"
"Species 413","Species 164"
"Species 415","Species 164"
"Species 416","Species 164"
"Species 454","Species 164"
"Species 456","Species 164"
"Species 457","Species 164"
"Species 459","Species 164"
"Species 479","Species 164"
"Species 480","Species 164"
"Species 497","Species 164"
"Species 21","Species 165"
"Species 49","Species 165"
"Species 50","Species 165"
"Species 51","Species 165"
"Species 54","Species 165"
"Species 59","Species 165"
"Species 60","Species 165"
"Species 61","Species 165"
"Species 62","Species 165"
"Species 63","Species 165"
"Species 64","Species 165"
"Species 65","Species 165"
"Species 66","Species 165"
"Species 67","Species 165"
"Species 69","Species 165"
"Species 106","Species 165"
"Species 129","Species 165"
"Species 131","Species 165"
"Species 136","Species 165"
"Species 137","Species 165"
"Species 138","Species 165"
"Species 140","Species 165"
"Species 141","Species 165"
"Species 143","Species 165"
"Species 144","Species 165"
"Species 145","Species 165"
"Species 147","Species 165"
"Species 148","Species 165"
"Species 150","Species 165"
"Species 353","Species 165"
"Species 354","Species 165"
"Species 355","Species 165"
"Species 357","Species 165"
"Species 358","Species 165"
"Species 359","Species 165"
"Species 360","Species 165"
"Species 365","Species 165"
"Species 366","Species 165"
"Species 369","Species 165"
"Species 373","Species 165"
"Species 375","Species 165"
"Species 376","Species 165"
"Species 378","Species 165"
"Species 379","Species 165"
"Species 382","Species 165"
"Species 384","Species 165"
"Species 385","Species 165"
"Species 387","Species 165"
"Species 388","Species 165"
"Species 390","Species 165"
"Species 391","Species 165"
"Species 392","Species 165"
"Species 393","Species 165"
"Species 394","Species 165"
"Species 395","Species 165"
"Species 396","Species 165"
"Species 399","Species 165"
"Species 413","Species 165"
"Species 415","Species 165"
"Species 416","Species 165"
"Species 426","Species 165"
"Species 442","Species 165"
"Species 454","Species 165"
"Species 456","Species 165"
"Species 457","Species 165"
"Species 459","Species 165"
"Species 479","Species 165"
"Species 480","Species 165"
"Species 497","Species 165"
"Species 10","Species 167"
"Species 24","Species 167"
"Species 25","Species 167"
"Species 26","Species 167"
"Species 29","Species 167"
"Species 34","Species 167"
"Species 35","Species 167"
"Species 36","Species 167"
"Species 37","Species 167"
"Species 38","Species 167"
"Species 39","Species 167"
"Species 40","Species 167"
"Species 41","Species 167"
"Species 42","Species 167"
"Species 43","Species 167"
"Species 45","Species 167"
"Species 49","Species 167"
"Species 50","Species 167"
"Species 51","Species 167"
"Species 54","Species 167"
"Species 59","Species 167"
"Species 60","Species 167"
"Species 61","Species 167"
"Species 62","Species 167"
"Species 63","Species 167"
"Species 64","Species 167"
"Species 65","Species 167"
"Species 66","Species 167"
"Species 67","Species 167"
"Species 69","Species 167"
"Species 77","Species 167"
"Species 106","Species 167"
"Species 115","Species 167"
"Species 116","Species 167"
"Species 129","Species 167"
"Species 131","Species 167"
"Species 132","Species 167"
"Species 136","Species 167"
"Species 137","Species 167"
"Species 138","Species 167"
"Species 140","Species 167"
"Species 141","Species 167"
"Species 143","Species 167"
"Species 144","Species 167"
"Species 145","Species 167"
"Species 147","Species 167"
"Species 148","Species 167"
"Species 150","Species 167"
"Species 151","Species 167"
"Species 152","Species 167"
"Species 154","Species 167"
"Species 262","Species 167"
"Species 328","Species 167"
"Species 337","Species 167"
"Species 353","Species 167"
"Species 354","Species 167"
"Species 355","Species 167"
"Species 357","Species 167"
"Species 358","Species 167"
"Species 359","Species 167"
"Species 360","Species 167"
"Species 365","Species 167"
"Species 366","Species 167"
"Species 369","Species 167"
"Species 373","Species 167"
"Species 375","Species 167"
"Species 376","Species 167"
"Species 378","Species 167"
"Species 379","Species 167"
"Species 382","Species 167"
"Species 384","Species 167"
"Species 385","Species 167"
"Species 387","Species 167"
"Species 388","Species 167"
"Species 390","Species 167"
"Species 391","Species 167"
"Species 392","Species 167"
"Species 393","Species 167"
"Species 394","Species 167"
"Species 395","Species 167"
"Species 396","Species 167"
"Species 399","Species 167"
"Species 406","Species 167"
"Species 413","Species 167"
"Species 414","Species 167"
"Species 415","Species 167"
"Species 416","Species 167"
"Species 417","Species 167"
"Species 424","Species 167"
"Species 426","Species 167"
"Species 427","Species 167"
"Species 442","Species 167"
"Species 454","Species 167"
"Species 456","Species 167"
"Species 457","Species 167"
"Species 459","Species 167"
"Species 479","Species 167"
"Species 480","Species 167"
"Species 497","Species 167"
"Species 10","Species 168"
"Species 128","Species 168"
"Species 129","Species 168"
"Species 131","Species 168"
"Species 136","Species 168"
"Species 137","Species 168"
"Species 138","Species 168"
"Species 140","Species 168"
"Species 141","Species 168"
"Species 143","Species 168"
"Species 145","Species 168"
"Species 147","Species 168"
"Species 148","Species 168"
"Species 149","Species 168"
"Species 150","Species 168"
"Species 154","Species 168"
"Species 156","Species 168"
"Species 157","Species 168"
"Species 160","Species 168"
"Species 165","Species 168"
"Species 167","Species 168"
"Species 182","Species 168"
"Species 184","Species 168"
"Species 257","Species 168"
"Species 266","Species 168"
"Species 271","Species 168"
"Species 274","Species 168"
"Species 277","Species 168"
"Species 290","Species 168"
"Species 294","Species 168"
"Species 353","Species 168"
"Species 365","Species 168"
"Species 366","Species 168"
"Species 375","Species 168"
"Species 376","Species 168"
"Species 379","Species 168"
"Species 402","Species 168"
"Species 403","Species 168"
"Species 404","Species 168"
"Species 407","Species 168"
"Species 408","Species 168"
"Species 409","Species 168"
"Species 410","Species 168"
"Species 413","Species 168"
"Species 415","Species 168"
"Species 416","Species 168"
"Species 426","Species 168"
"Species 429","Species 168"
"Species 430","Species 168"
"Species 432","Species 168"
"Species 434","Species 168"
"Species 435","Species 168"
"Species 437","Species 168"
"Species 438","Species 168"
"Species 439","Species 168"
"Species 441","Species 168"
"Species 442","Species 168"
"Species 443","Species 168"
"Species 444","Species 168"
"Species 454","Species 168"
"Species 456","Species 168"
"Species 457","Species 168"
"Species 459","Species 168"
"Species 460","Species 168"
"Species 465","Species 168"
"Species 466","Species 168"
"Species 468","Species 168"
"Species 470","Species 168"
"Species 472","Species 168"
"Species 478","Species 168"
"Species 479","Species 168"
"Species 480","Species 168"
"Species 486","Species 168"
"Species 488","Species 168"
"Species 493","Species 168"
"Species 494","Species 168"
"Species 497","Species 168"
"Species 24","Species 171"
"Species 34","Species 171"
"Species 36","Species 171"
"Species 37","Species 171"
"Species 38","Species 171"
"Species 39","Species 171"
"Species 40","Species 171"
"Species 41","Species 171"
"Species 42","Species 171"
"Species 43","Species 171"
"Species 45","Species 171"
"Species 77","Species 171"
"Species 128","Species 171"
"Species 129","Species 171"
"Species 131","Species 171"
"Species 136","Species 171"
"Species 137","Species 171"
"Species 138","Species 171"
"Species 140","Species 171"
"Species 141","Species 171"
"Species 143","Species 171"
"Species 145","Species 171"
"Species 148","Species 171"
"Species 149","Species 171"
"Species 157","Species 171"
"Species 160","Species 171"
"Species 165","Species 171"
"Species 167","Species 171"
"Species 182","Species 171"
"Species 184","Species 171"
"Species 257","Species 171"
"Species 262","Species 171"
"Species 266","Species 171"
"Species 271","Species 171"
"Species 274","Species 171"
"Species 277","Species 171"
"Species 290","Species 171"
"Species 294","Species 171"
"Species 353","Species 171"
"Species 355","Species 171"
"Species 358","Species 171"
"Species 365","Species 171"
"Species 366","Species 171"
"Species 375","Species 171"
"Species 376","Species 171"
"Species 379","Species 171"
"Species 385","Species 171"
"Species 391","Species 171"
"Species 402","Species 171"
"Species 403","Species 171"
"Species 404","Species 171"
"Species 406","Species 171"
"Species 407","Species 171"
"Species 408","Species 171"
"Species 409","Species 171"
"Species 410","Species 171"
"Species 413","Species 171"
"Species 414","Species 171"
"Species 415","Species 171"
"Species 416","Species 171"
"Species 417","Species 171"
"Species 426","Species 171"
"Species 427","Species 171"
"Species 429","Species 171"
"Species 430","Species 171"
"Species 432","Species 171"
"Species 434","Species 171"
"Species 435","Species 171"
"Species 437","Species 171"
"Species 438","Species 171"
"Species 439","Species 171"
"Species 440","Species 171"
"Species 441","Species 171"
"Species 442","Species 171"
"Species 443","Species 171"
"Species 444","Species 171"
"Species 454","Species 171"
"Species 456","Species 171"
"Species 457","Species 171"
"Species 459","Species 171"
"Species 460","Species 171"
"Species 465","Species 171"
"Species 466","Species 171"
"Species 468","Species 171"
"Species 470","Species 171"
"Species 472","Species 171"
"Species 478","Species 171"
"Species 479","Species 171"
"Species 480","Species 171"
"Species 486","Species 171"
"Species 488","Species 171"
"Species 493","Species 171"
"Species 494","Species 171"
"Species 497","Species 171"
"Species 2","Species 174"
"Species 10","Species 174"
"Species 157","Species 176"
"Species 160","Species 176"
"Species 164","Species 176"
"Species 165","Species 176"
"Species 167","Species 176"
"Species 171","Species 176"
"Species 182","Species 176"
"Species 184","Species 176"
"Species 257","Species 176"
"Species 266","Species 176"
"Species 271","Species 176"
"Species 274","Species 176"
"Species 277","Species 176"
"Species 290","Species 176"
"Species 294","Species 176"
"Species 402","Species 176"
"Species 403","Species 176"
"Species 404","Species 176"
