"resource","consumer"
"Species 20","Species 44"
"Species 20","Species 49"
"Species 20","Species 52"
"Species 20","Species 16"
"Species 20","Species 22"
"Species 20","Species 23"
"Species 20","Species 24"
"Species 20","Species 25"
"Species 20","Species 26"
"Species 20","Species 27"
"Species 20","Species 28"
"Species 20","Species 36"
"Species 21","Species 22"
"Species 21","Species 23"
"Species 21","Species 24"
"Species 21","Species 26"
"Species 21","Species 27"
"Species 21","Species 28"
"Species 21","Species 32"
"Species 21","Species 33"
"Species 21","Species 34"
"Species 21","Species 35"
"Species 21","Species 36"
"Species 21","Species 37"
"Species 21","Species 38"
"Species 21","Species 39"
"Species 21","Species 44"
"Species 22","Species 22"
"Species 22","Species 23"
"Species 22","Species 39"
"Species 22","Species 44"
"Species 22","Species 26"
"Species 22","Species 27"
"Species 22","Species 28"
"Species 22","Species 32"
"Species 22","Species 33"
"Species 22","Species 34"
"Species 22","Species 35"
"Species 22","Species 36"
"Species 22","Species 37"
"Species 22","Species 46"
"Species 23","Species 22"
"Species 23","Species 26"
"Species 23","Species 27"
"Species 23","Species 28"
"Species 23","Species 32"
"Species 23","Species 33"
"Species 23","Species 34"
"Species 23","Species 35"
"Species 23","Species 36"
"Species 23","Species 37"
"Species 23","Species 38"
"Species 23","Species 39"
"Species 23","Species 44"
"Species 23","Species 46"
"Species 23","Species 23"
"Species 23","Species 24"
"Species 24","Species 24"
"Species 24","Species 26"
"Species 24","Species 32"
"Species 24","Species 33"
"Species 24","Species 34"
"Species 24","Species 35"
"Species 24","Species 36"
"Species 24","Species 37"
"Species 24","Species 38"
"Species 24","Species 39"
"Species 24","Species 41"
"Species 24","Species 42"
"Species 24","Species 43"
"Species 24","Species 44"
"Species 24","Species 49"
"Species 25","Species 24"
"Species 25","Species 25"
"Species 25","Species 32"
"Species 25","Species 33"
"Species 25","Species 34"
"Species 25","Species 35"
"Species 25","Species 36"
"Species 25","Species 37"
"Species 25","Species 38"
"Species 25","Species 39"
"Species 25","Species 41"
"Species 25","Species 42"
"Species 25","Species 43"
"Species 25","Species 44"
"Species 25","Species 49"
"Species 26","Species 24"
"Species 26","Species 26"
"Species 26","Species 32"
"Species 26","Species 33"
"Species 26","Species 34"
"Species 26","Species 35"
"Species 26","Species 36"
"Species 26","Species 37"
"Species 26","Species 38"
"Species 26","Species 39"
"Species 26","Species 41"
"Species 26","Species 42"
"Species 26","Species 43"
"Species 26","Species 44"
"Species 26","Species 49"
"Species 27","Species 27"
"Species 27","Species 44"
"Species 27","Species 45"
"Species 27","Species 46"
"Species 27","Species 49"
"Species 27","Species 22"
"Species 27","Species 23"
"Species 27","Species 24"
"Species 27","Species 28"
"Species 27","Species 32"
"Species 27","Species 33"
"Species 27","Species 34"
"Species 27","Species 35"
"Species 27","Species 36"
"Species 27","Species 37"
"Species 27","Species 38"
"Species 27","Species 39"
"Species 28","Species 22"
"Species 28","Species 23"
"Species 28","Species 24"
"Species 28","Species 27"
"Species 28","Species 28"
"Species 28","Species 34"
"Species 28","Species 35"
"Species 28","Species 36"
"Species 28","Species 37"
"Species 28","Species 39"
"Species 28","Species 44"
"Species 28","Species 45"
"Species 28","Species 46"
"Species 28","Species 49"
"Species 28","Species 32"
"Species 28","Species 33"
"Species 28","Species 38"
