"resource","consumer"
"Species 266","Species 71"
"Species 267","Species 71"
"Species 268","Species 71"
"Species 269","Species 71"
"Species 271","Species 71"
"Species 272","Species 71"
"Species 273","Species 71"
"Species 274","Species 71"
"Species 275","Species 71"
"Species 276","Species 71"
"Species 277","Species 71"
"Species 279","Species 71"
"Species 280","Species 71"
"Species 12","Species 72"
"Species 25","Species 72"
"Species 44","Species 72"
"Species 61","Species 72"
"Species 64","Species 72"
"Species 65","Species 72"
"Species 66","Species 72"
"Species 67","Species 72"
"Species 68","Species 72"
"Species 70","Species 72"
"Species 71","Species 72"
"Species 72","Species 72"
"Species 73","Species 72"
"Species 233","Species 72"
"Species 234","Species 72"
"Species 235","Species 72"
"Species 237","Species 72"
"Species 238","Species 72"
"Species 239","Species 72"
"Species 240","Species 72"
"Species 244","Species 72"
"Species 245","Species 72"
"Species 246","Species 72"
"Species 247","Species 72"
"Species 250","Species 72"
"Species 251","Species 72"
"Species 255","Species 72"
"Species 265","Species 72"
"Species 266","Species 72"
"Species 267","Species 72"
"Species 268","Species 72"
"Species 269","Species 72"
"Species 271","Species 72"
"Species 272","Species 72"
"Species 273","Species 72"
"Species 274","Species 72"
"Species 275","Species 72"
"Species 276","Species 72"
"Species 277","Species 72"
"Species 279","Species 72"
"Species 280","Species 72"
"Species 12","Species 73"
"Species 233","Species 73"
"Species 234","Species 73"
"Species 235","Species 73"
"Species 237","Species 73"
"Species 238","Species 73"
"Species 239","Species 73"
"Species 240","Species 73"
"Species 244","Species 73"
"Species 245","Species 73"
"Species 246","Species 73"
"Species 247","Species 73"
"Species 250","Species 73"
"Species 251","Species 73"
"Species 255","Species 73"
"Species 265","Species 73"
"Species 266","Species 73"
"Species 267","Species 73"
"Species 268","Species 73"
"Species 269","Species 73"
"Species 271","Species 73"
"Species 272","Species 73"
"Species 273","Species 73"
"Species 274","Species 73"
"Species 275","Species 73"
"Species 276","Species 73"
"Species 277","Species 73"
"Species 279","Species 73"
"Species 280","Species 73"
"Species 2","Species 75"
"Species 6","Species 75"
"Species 3","Species 76"
"Species 2","Species 79"
"Species 6","Species 79"
"Species 3","Species 82"
"Species 141","Species 86"
"Species 143","Species 86"
"Species 144","Species 86"
"Species 145","Species 86"
"Species 146","Species 86"
"Species 147","Species 86"
"Species 148","Species 86"
"Species 151","Species 86"
"Species 154","Species 86"
"Species 155","Species 86"
"Species 157","Species 86"
"Species 158","Species 86"
"Species 159","Species 86"
"Species 161","Species 86"
"Species 163","Species 86"
"Species 164","Species 86"
"Species 168","Species 86"
"Species 169","Species 86"
"Species 170","Species 86"
"Species 172","Species 86"
"Species 173","Species 86"
"Species 174","Species 86"
"Species 175","Species 86"
"Species 176","Species 86"
"Species 177","Species 86"
"Species 178","Species 86"
"Species 181","Species 86"
"Species 182","Species 86"
"Species 183","Species 86"
"Species 187","Species 86"
"Species 189","Species 86"
"Species 190","Species 86"
"Species 194","Species 86"
"Species 197","Species 86"
"Species 198","Species 86"
"Species 201","Species 86"
"Species 202","Species 86"
"Species 204","Species 86"
"Species 205","Species 86"
"Species 207","Species 86"
"Species 208","Species 86"
"Species 209","Species 86"
"Species 210","Species 86"
"Species 227","Species 86"
"Species 118","Species 87"
"Species 121","Species 87"
"Species 2","Species 89"
"Species 141","Species 90"
"Species 143","Species 90"
"Species 144","Species 90"
"Species 145","Species 90"
"Species 146","Species 90"
"Species 147","Species 90"
"Species 148","Species 90"
"Species 151","Species 90"
"Species 154","Species 90"
"Species 155","Species 90"
"Species 157","Species 90"
"Species 158","Species 90"
"Species 159","Species 90"
"Species 161","Species 90"
"Species 163","Species 90"
"Species 164","Species 90"
"Species 168","Species 90"
"Species 169","Species 90"
"Species 170","Species 90"
"Species 172","Species 90"
"Species 173","Species 90"
"Species 174","Species 90"
"Species 175","Species 90"
"Species 176","Species 90"
"Species 177","Species 90"
"Species 178","Species 90"
"Species 181","Species 90"
"Species 182","Species 90"
"Species 183","Species 90"
"Species 187","Species 90"
"Species 189","Species 90"
"Species 190","Species 90"
"Species 194","Species 90"
"Species 197","Species 90"
"Species 198","Species 90"
"Species 201","Species 90"
"Species 202","Species 90"
"Species 204","Species 90"
"Species 205","Species 90"
"Species 207","Species 90"
"Species 208","Species 90"
"Species 209","Species 90"
"Species 210","Species 90"
"Species 227","Species 90"
"Species 12","Species 92"
"Species 1","Species 93"
"Species 2","Species 93"
"Species 1","Species 94"
"Species 2","Species 94"
"Species 6","Species 94"
"Species 2","Species 99"
"Species 6","Species 99"
"Species 10","Species 99"
"Species 2","Species 100"
"Species 3","Species 102"
"Species 2","Species 104"
"Species 12","Species 104"
"Species 93","Species 106"
"Species 94","Species 106"
"Species 102","Species 106"
"Species 106","Species 106"
"Species 109","Species 106"
"Species 276","Species 106"
"Species 2","Species 109"
"Species 3","Species 109"
"Species 2","Species 110"
"Species 6","Species 110"
"Species 2","Species 86"
"Species 3","Species 86"
"Species 2","Species 90"
"Species 3","Species 90"
"Species 2","Species 111"
"Species 12","Species 111"
"Species 2","Species 112"
"Species 12","Species 112"
"Species 21","Species 112"
"Species 25","Species 112"
"Species 44","Species 112"
"Species 61","Species 112"
"Species 64","Species 112"
"Species 65","Species 112"
"Species 66","Species 112"
"Species 67","Species 112"
"Species 68","Species 112"
"Species 70","Species 112"
"Species 71","Species 112"
"Species 72","Species 112"
"Species 73","Species 112"
"Species 92","Species 112"
"Species 104","Species 112"
"Species 244","Species 112"
"Species 247","Species 112"
"Species 283","Species 112"
"Species 286","Species 112"
"Species 287","Species 112"
"Species 288","Species 112"
"Species 289","Species 112"
"Species 293","Species 112"
"Species 312","Species 112"
"Species 1","Species 113"
"Species 2","Species 113"
"Species 3","Species 113"
"Species 6","Species 113"
"Species 10","Species 113"
"Species 25","Species 113"
"Species 35","Species 113"
"Species 44","Species 113"
"Species 51","Species 113"
"Species 53","Species 113"
"Species 61","Species 113"
"Species 64","Species 113"
"Species 65","Species 113"
"Species 66","Species 113"
"Species 67","Species 113"
"Species 68","Species 113"
"Species 70","Species 113"
"Species 71","Species 113"
"Species 72","Species 113"
"Species 73","Species 113"
"Species 75","Species 113"
"Species 93","Species 113"
"Species 94","Species 113"
"Species 216","Species 113"
"Species 218","Species 113"
"Species 219","Species 113"
"Species 247","Species 113"
"Species 238","Species 113"
"Species 245","Species 113"
"Species 266","Species 113"
"Species 233","Species 113"
"Species 246","Species 113"
"Species 250","Species 113"
"Species 255","Species 113"
"Species 267","Species 113"
"Species 274","Species 113"
"Species 286","Species 113"
"Species 299","Species 113"
"Species 300","Species 113"
"Species 307","Species 113"
"Species 1","Species 114"
"Species 2","Species 114"
"Species 3","Species 114"
"Species 6","Species 114"
"Species 10","Species 114"
"Species 16","Species 114"
"Species 25","Species 114"
"Species 35","Species 114"
"Species 44","Species 114"
"Species 50","Species 114"
"Species 51","Species 114"
"Species 53","Species 114"
"Species 61","Species 114"
"Species 64","Species 114"
"Species 65","Species 114"
"Species 66","Species 114"
"Species 67","Species 114"
"Species 68","Species 114"
"Species 70","Species 114"
"Species 71","Species 114"
"Species 72","Species 114"
"Species 73","Species 114"
"Species 75","Species 114"
"Species 79","Species 114"
"Species 82","Species 114"
"Species 99","Species 114"
"Species 93","Species 114"
"Species 94","Species 114"
"Species 113","Species 114"
"Species 115","Species 114"
"Species 213","Species 114"
"Species 214","Species 114"
"Species 216","Species 114"
"Species 218","Species 114"
"Species 219","Species 114"
"Species 233","Species 114"
"Species 235","Species 114"
"Species 237","Species 114"
"Species 238","Species 114"
"Species 239","Species 114"
"Species 245","Species 114"
"Species 246","Species 114"
"Species 247","Species 114"
"Species 250","Species 114"
"Species 265","Species 114"
"Species 266","Species 114"
"Species 268","Species 114"
"Species 269","Species 114"
"Species 271","Species 114"
"Species 272","Species 114"
"Species 273","Species 114"
"Species 275","Species 114"
"Species 276","Species 114"
"Species 277","Species 114"
"Species 234","Species 114"
"Species 255","Species 114"
"Species 267","Species 114"
"Species 274","Species 114"
"Species 286","Species 114"
"Species 289","Species 114"
"Species 299","Species 114"
"Species 300","Species 114"
"Species 307","Species 114"
"Species 314","Species 114"
"Species 2","Species 115"
"Species 3","Species 115"
"Species 6","Species 115"
"Species 10","Species 115"
"Species 50","Species 116"
"Species 89","Species 116"
"Species 99","Species 116"
"Species 100","Species 116"
"Species 113","Species 116"
"Species 114","Species 116"
"Species 119","Species 116"
"Species 122","Species 116"
"Species 127","Species 116"
"Species 214","Species 116"
"Species 220","Species 116"
"Species 228","Species 116"
"Species 229","Species 116"
"Species 231","Species 116"
"Species 247","Species 116"
"Species 233","Species 116"
"Species 235","Species 116"
"Species 238","Species 116"
"Species 245","Species 116"
"Species 246","Species 116"
"Species 255","Species 116"
"Species 266","Species 116"
"Species 267","Species 116"
"Species 272","Species 116"
"Species 234","Species 116"
"Species 240","Species 116"
"Species 244","Species 116"
"Species 251","Species 116"
"Species 265","Species 116"
"Species 268","Species 116"
"Species 269","Species 116"
"Species 271","Species 116"
"Species 273","Species 116"
"Species 275","Species 116"
"Species 276","Species 116"
"Species 277","Species 116"
"Species 279","Species 116"
"Species 280","Species 116"
"Species 283","Species 116"
"Species 286","Species 116"
"Species 287","Species 116"
"Species 288","Species 116"
"Species 289","Species 116"
"Species 291","Species 116"
"Species 293","Species 116"
"Species 305","Species 116"
"Species 308","Species 116"
"Species 312","Species 116"
"Species 314","Species 116"
"Species 2","Species 118"
"Species 10","Species 118"
"Species 21","Species 118"
"Species 25","Species 118"
"Species 44","Species 118"
"Species 61","Species 118"
"Species 64","Species 118"
"Species 65","Species 118"
"Species 66","Species 118"
"Species 67","Species 118"
"Species 68","Species 118"
"Species 70","Species 118"
"Species 71","Species 118"
"Species 72","Species 118"
"Species 73","Species 118"
"Species 92","Species 118"
"Species 104","Species 118"
"Species 244","Species 118"
"Species 247","Species 118"
"Species 283","Species 118"
"Species 286","Species 118"
"Species 287","Species 118"
"Species 288","Species 118"
"Species 289","Species 118"
"Species 293","Species 118"
"Species 312","Species 118"
"Species 21","Species 119"
"Species 25","Species 119"
"Species 44","Species 119"
"Species 61","Species 119"
"Species 64","Species 119"
"Species 65","Species 119"
"Species 66","Species 119"
"Species 67","Species 119"
"Species 68","Species 119"
"Species 70","Species 119"
"Species 71","Species 119"
"Species 72","Species 119"
"Species 73","Species 119"
"Species 89","Species 119"
"Species 99","Species 119"
"Species 100","Species 119"
"Species 104","Species 119"
"Species 110","Species 119"
"Species 233","Species 119"
"Species 234","Species 119"
"Species 235","Species 119"
"Species 237","Species 119"
"Species 238","Species 119"
"Species 239","Species 119"
"Species 240","Species 119"
"Species 245","Species 119"
"Species 246","Species 119"
"Species 250","Species 119"
"Species 251","Species 119"
"Species 255","Species 119"
"Species 265","Species 119"
"Species 266","Species 119"
"Species 267","Species 119"
"Species 268","Species 119"
"Species 269","Species 119"
"Species 271","Species 119"
"Species 272","Species 119"
"Species 273","Species 119"
"Species 274","Species 119"
"Species 275","Species 119"
"Species 276","Species 119"
"Species 277","Species 119"
"Species 279","Species 119"
"Species 280","Species 119"
"Species 244","Species 119"
"Species 247","Species 119"
"Species 283","Species 119"
"Species 286","Species 119"
"Species 287","Species 119"
"Species 288","Species 119"
"Species 289","Species 119"
"Species 293","Species 119"
"Species 312","Species 119"
"Species 89","Species 120"
"Species 99","Species 120"
"Species 100","Species 120"
"Species 244","Species 120"
"Species 247","Species 120"
"Species 276","Species 120"
"Species 283","Species 120"
"Species 286","Species 120"
"Species 287","Species 120"
"Species 288","Species 120"
"Species 289","Species 120"
"Species 293","Species 120"
"Species 312","Species 120"
"Species 10","Species 121"
"Species 25","Species 121"
"Species 35","Species 121"
"Species 44","Species 121"
"Species 51","Species 121"
"Species 53","Species 121"
"Species 61","Species 121"
"Species 64","Species 121"
"Species 65","Species 121"
"Species 66","Species 121"
"Species 67","Species 121"
"Species 68","Species 121"
"Species 70","Species 121"
"Species 71","Species 121"
"Species 72","Species 121"
"Species 73","Species 121"
"Species 75","Species 121"
"Species 76","Species 121"
"Species 89","Species 121"
"Species 92","Species 121"
"Species 99","Species 121"
"Species 100","Species 121"
"Species 104","Species 121"
"Species 110","Species 121"
"Species 86","Species 121"
"Species 90","Species 121"
"Species 93","Species 121"
"Species 94","Species 121"
"Species 216","Species 121"
"Species 217","Species 121"
"Species 218","Species 121"
"Species 219","Species 121"
"Species 234","Species 121"
"Species 247","Species 121"
"Species 233","Species 121"
"Species 235","Species 121"
"Species 237","Species 121"
"Species 238","Species 121"
"Species 239","Species 121"
"Species 240","Species 121"
"Species 245","Species 121"
"Species 246","Species 121"
"Species 250","Species 121"
"Species 251","Species 121"
"Species 255","Species 121"
"Species 265","Species 121"
"Species 266","Species 121"
"Species 267","Species 121"
"Species 268","Species 121"
"Species 269","Species 121"
"Species 271","Species 121"
"Species 272","Species 121"
"Species 273","Species 121"
"Species 274","Species 121"
"Species 275","Species 121"
"Species 276","Species 121"
"Species 277","Species 121"
"Species 279","Species 121"
"Species 280","Species 121"
"Species 244","Species 121"
"Species 283","Species 121"
"Species 286","Species 121"
"Species 287","Species 121"
"Species 288","Species 121"
"Species 289","Species 121"
"Species 293","Species 121"
"Species 312","Species 121"
"Species 10","Species 122"
"Species 50","Species 122"
"Species 89","Species 122"
"Species 99","Species 122"
"Species 100","Species 122"
"Species 102","Species 122"
"Species 109","Species 122"
"Species 110","Species 122"
"Species 93","Species 122"
"Species 94","Species 122"
"Species 111","Species 122"
"Species 112","Species 122"
"Species 113","Species 122"
"Species 114","Species 122"
"Species 115","Species 122"
"Species 119","Species 122"
"Species 120","Species 122"
"Species 121","Species 122"
"Species 211","Species 122"
"Species 214","Species 122"
"Species 220","Species 122"
"Species 228","Species 122"
"Species 231","Species 122"
"Species 244","Species 122"
"Species 233","Species 122"
"Species 245","Species 122"
"Species 246","Species 122"
"Species 255","Species 122"
"Species 267","Species 122"
"Species 238","Species 122"
"Species 266","Species 122"
"Species 234","Species 122"
"Species 239","Species 122"
"Species 240","Species 122"
"Species 247","Species 122"
