"resource","consumer"
"Species 385","Species 95"
"Species 386","Species 95"
"Species 387","Species 95"
"Species 388","Species 95"
"Species 390","Species 95"
"Species 391","Species 95"
"Species 392","Species 95"
"Species 393","Species 95"
"Species 394","Species 95"
"Species 395","Species 95"
"Species 396","Species 95"
"Species 399","Species 95"
"Species 400","Species 95"
"Species 12","Species 96"
"Species 50","Species 96"
"Species 68","Species 96"
"Species 101","Species 96"
"Species 104","Species 96"
"Species 105","Species 96"
"Species 106","Species 96"
"Species 107","Species 96"
"Species 108","Species 96"
"Species 110","Species 96"
"Species 111","Species 96"
"Species 112","Species 96"
"Species 113","Species 96"
"Species 353","Species 96"
"Species 354","Species 96"
"Species 355","Species 96"
"Species 357","Species 96"
"Species 358","Species 96"
"Species 359","Species 96"
"Species 360","Species 96"
"Species 364","Species 96"
"Species 365","Species 96"
"Species 366","Species 96"
"Species 367","Species 96"
"Species 369","Species 96"
"Species 370","Species 96"
"Species 374","Species 96"
"Species 384","Species 96"
"Species 385","Species 96"
"Species 386","Species 96"
"Species 387","Species 96"
"Species 388","Species 96"
"Species 390","Species 96"
"Species 391","Species 96"
"Species 392","Species 96"
"Species 393","Species 96"
"Species 394","Species 96"
"Species 395","Species 96"
"Species 396","Species 96"
"Species 399","Species 96"
"Species 400","Species 96"
"Species 12","Species 97"
"Species 353","Species 97"
"Species 354","Species 97"
"Species 355","Species 97"
"Species 357","Species 97"
"Species 358","Species 97"
"Species 359","Species 97"
"Species 360","Species 97"
"Species 364","Species 97"
"Species 365","Species 97"
"Species 366","Species 97"
"Species 367","Species 97"
"Species 369","Species 97"
"Species 370","Species 97"
"Species 374","Species 97"
"Species 384","Species 97"
"Species 385","Species 97"
"Species 386","Species 97"
"Species 387","Species 97"
"Species 388","Species 97"
"Species 390","Species 97"
"Species 391","Species 97"
"Species 392","Species 97"
"Species 393","Species 97"
"Species 394","Species 97"
"Species 395","Species 97"
"Species 396","Species 97"
"Species 399","Species 97"
"Species 400","Species 97"
"Species 12","Species 101"
"Species 12","Species 104"
