"node","taxa.ID","nodeID","Lifestyle","n.lifestages","n.LS"
"Species 272","Species 272",373.5,"infectious",4,1
"Species 273","Species 273",374.5,"infectious",4,1
"Species 274","Species 274",384.333333333333,"infectious",3,1
"Species 275","Species 275",376.25,"infectious",4,1
"Species 276","Species 276",377.25,"infectious",4,1
"Species 277","Species 277",378.25,"infectious",4,1
"Species 279","Species 279",389.333333333333,"infectious",3,1
"Species 280","Species 280",390.333333333333,"infectious",3,1
"Species 283","Species 283",453.333333333333,"infectious",3,1
"Species 286","Species 286",456,"infectious",3,1
"Species 287","Species 287",457,"infectious",3,1
"Species 288","Species 288",458,"infectious",3,1
"Species 289","Species 289",459,"infectious",3,1
"Species 291","Species 291",462,"infectious",1,0
"Species 292","Species 292",469,"infectious",1,0
"Species 293","Species 293",474.5,"infectious",2,1
"Species 295","Species 295",472,"infectious",1,0
"Species 299","Species 299",476,"infectious",1,0
"Species 300","Species 300",477,"infectious",1,0
"Species 305","Species 305",486,"infectious",2,1
"Species 306","Species 306",487,"infectious",2,1
"Species 307","Species 307",490,"infectious",1,0
"Species 308","Species 308",491,"infectious",1,0
"Species 312","Species 312",496.5,"infectious",2,1
"Species 314","Species 314",500,"infectious",1,0
