"resource","consumer"
"Species 17","Species 50"
"Species 17","Species 52"
"Species 17","Species 54"
"Species 17","Species 55"
"Species 17","Species 56"
"Species 17","Species 67"
"Species 17","Species 102"
"Species 18","Species 12"
"Species 18","Species 16"
"Species 18","Species 24"
"Species 18","Species 25"
"Species 18","Species 27"
"Species 18","Species 28"
"Species 18","Species 29"
"Species 18","Species 32"
"Species 18","Species 33"
"Species 18","Species 48"
"Species 18","Species 50"
"Species 18","Species 52"
"Species 18","Species 54"
"Species 18","Species 55"
"Species 18","Species 56"
"Species 18","Species 67"
"Species 19","Species 16"
"Species 19","Species 24"
"Species 19","Species 25"
"Species 19","Species 27"
"Species 19","Species 28"
"Species 19","Species 29"
"Species 19","Species 32"
"Species 19","Species 33"
"Species 19","Species 48"
"Species 19","Species 50"
"Species 19","Species 52"
"Species 19","Species 54"
"Species 19","Species 55"
"Species 19","Species 56"
"Species 19","Species 61"
"Species 19","Species 67"
"Species 19","Species 102"
"Species 20","Species 47"
"Species 20","Species 49"
"Species 20","Species 51"
"Species 20","Species 53"
"Species 20","Species 57"
"Species 20","Species 59"
"Species 20","Species 61"
"Species 20","Species 64"
"Species 20","Species 65"
"Species 20","Species 66"
"Species 20","Species 67"
"Species 20","Species 72"
"Species 20","Species 78"
"Species 21","Species 16"
"Species 21","Species 24"
"Species 21","Species 25"
"Species 21","Species 27"
"Species 21","Species 28"
"Species 21","Species 29"
"Species 21","Species 30"
"Species 21","Species 31"
"Species 21","Species 32"
"Species 21","Species 33"
"Species 21","Species 34"
"Species 21","Species 35"
"Species 21","Species 36"
"Species 21","Species 37"
"Species 21","Species 48"
"Species 21","Species 50"
"Species 21","Species 52"
"Species 21","Species 54"
"Species 21","Species 55"
"Species 21","Species 56"
"Species 21","Species 61"
"Species 21","Species 72"
"Species 21","Species 78"
"Species 22","Species 24"
"Species 22","Species 25"
"Species 22","Species 27"
"Species 22","Species 28"
"Species 22","Species 29"
"Species 22","Species 32"
"Species 22","Species 33"
"Species 22","Species 34"
"Species 22","Species 35"
"Species 22","Species 36"
"Species 22","Species 37"
"Species 22","Species 48"
"Species 22","Species 50"
"Species 22","Species 52"
"Species 22","Species 54"
"Species 22","Species 55"
"Species 22","Species 56"
"Species 22","Species 57"
"Species 22","Species 59"
"Species 22","Species 61"
"Species 22","Species 67"
"Species 23","Species 24"
"Species 23","Species 25"
"Species 23","Species 27"
"Species 23","Species 28"
"Species 23","Species 29"
"Species 23","Species 32"
"Species 23","Species 33"
"Species 23","Species 34"
"Species 23","Species 35"
"Species 23","Species 36"
"Species 23","Species 37"
"Species 23","Species 48"
"Species 23","Species 50"
"Species 23","Species 52"
"Species 23","Species 54"
"Species 23","Species 55"
"Species 23","Species 56"
"Species 23","Species 57"
"Species 23","Species 59"
"Species 23","Species 61"
"Species 23","Species 67"
"Species 24","Species 24"
"Species 24","Species 27"
"Species 24","Species 61"
"Species 24","Species 67"
"Species 25","Species 24"
"Species 25","Species 25"
"Species 25","Species 32"
"Species 25","Species 33"
"Species 25","Species 34"
"Species 25","Species 35"
"Species 25","Species 36"
"Species 25","Species 37"
"Species 25","Species 48"
"Species 25","Species 50"
"Species 25","Species 52"
"Species 25","Species 54"
"Species 25","Species 55"
"Species 25","Species 56"
"Species 25","Species 57"
"Species 25","Species 61"
"Species 25","Species 67"
"Species 25","Species 69"
"Species 26","Species 24"
"Species 26","Species 25"
"Species 26","Species 32"
"Species 26","Species 33"
"Species 26","Species 34"
"Species 26","Species 35"
"Species 26","Species 36"
"Species 26","Species 37"
"Species 26","Species 48"
"Species 26","Species 50"
"Species 26","Species 52"
"Species 26","Species 54"
"Species 26","Species 55"
"Species 26","Species 56"
"Species 26","Species 57"
"Species 26","Species 59"
"Species 26","Species 61"
"Species 26","Species 67"
"Species 26","Species 69"
"Species 27","Species 24"
"Species 27","Species 25"
"Species 27","Species 27"
"Species 27","Species 28"
