"node","taxa.ID","nodeID","Lifestyle","n.lifestages","n.LS"
"Species 284","Species 238",284,"infectious",4,1
"Species 285","Species 239",285,"infectious",4,1
"Species 286","Species 240",286,"infectious",3,1
"Species 290","Species 244",290,"infectious",3,1
"Species 291","Species 245",291,"infectious",4,1
"Species 292","Species 246",292,"infectious",4,1
"Species 293","Species 247",293,"infectious",4,1
"Species 296","Species 250",296,"infectious",4,1
"Species 297","Species 251",297,"infectious",3,1
"Species 301","Species 255",301,"infectious",3,1
"Species 311","Species 265",311,"infectious",4,1
"Species 312","Species 266",312,"infectious",4,1
"Species 313","Species 267",313,"infectious",3,1
"Species 314","Species 268",314,"infectious",4,1
"Species 315","Species 269",315,"infectious",4,1
"Species 317","Species 271",317,"infectious",4,1
"Species 318","Species 272",318,"infectious",4,1
"Species 319","Species 273",319,"infectious",4,1
"Species 320","Species 274",320,"infectious",3,1
"Species 321","Species 275",321,"infectious",4,1
"Species 322","Species 276",322,"infectious",4,1
"Species 323","Species 277",323,"infectious",4,1
"Species 325","Species 279",325,"infectious",3,1
"Species 326","Species 280",326,"infectious",3,1
"Species 327","Species 233",327,"infectious",4,1
"Species 328","Species 234",328,"infectious",4,1
"Species 329","Species 235",329,"infectious",3,1
"Species 331","Species 237",331,"infectious",4,1
"Species 332","Species 238",332,"infectious",4,1
"Species 333","Species 239",333,"infectious",4,1
"Species 335","Species 245",335,"infectious",4,1
"Species 336","Species 246",336,"infectious",4,1
"Species 337","Species 247",337,"infectious",4,1
"Species 338","Species 250",338,"infectious",4,1
"Species 342","Species 265",342,"infectious",4,1
"Species 343","Species 266",343,"infectious",4,1
"Species 344","Species 268",344,"infectious",4,1
"Species 345","Species 269",345,"infectious",4,1
"Species 346","Species 271",346,"infectious",4,1
"Species 347","Species 272",347,"infectious",4,1
"Species 348","Species 273",348,"infectious",4,1
"Species 349","Species 275",349,"infectious",4,1
"Species 350","Species 276",350,"infectious",4,1
"Species 351","Species 277",351,"infectious",4,1
"Species 353","Species 233",353,"infectious",4,1
"Species 354","Species 234",354,"infectious",4,1
"Species 355","Species 235",355,"infectious",3,1
"Species 357","Species 237",357,"infectious",4,1
"Species 358","Species 238",358,"infectious",4,1
"Species 359","Species 239",359,"infectious",4,1
"Species 360","Species 240",360,"infectious",3,1
"Species 364","Species 244",364,"infectious",3,1
"Species 365","Species 245",365,"infectious",4,1
"Species 366","Species 246",366,"infectious",4,1
"Species 367","Species 247",367,"infectious",4,1
"Species 369","Species 250",369,"infectious",4,1
"Species 370","Species 251",370,"infectious",3,1
"Species 374","Species 255",374,"infectious",3,1
"Species 384","Species 265",384,"infectious",4,1
"Species 385","Species 266",385,"infectious",4,1
"Species 386","Species 267",386,"infectious",3,1
"Species 387","Species 268",387,"infectious",4,1
"Species 388","Species 269",388,"infectious",4,1
