ConsumerNodeID,ResourceNodeID,ConsumerSpeciesID,ResourceSpeciesID,ConsumerStageID,ResourceStageID,ConsumerSpecies.StageID,ResourceSpecies.StageID,LinkTypeID,LinkType,LinkEvidence,LinkEvidenceNotes,LinkFrequency,LinkN,DietFraction,ConsumptionRate,VectorFrom,PreyFrom
6,6,6,6,1,1,6.1,6.1,1,predation,modelled,,,,,,,
7,6,7,6,1,1,7.1,6.1,1,predation,modelled,,,,,,,
16,6,16,6,1,1,16.1,6.1,1,predation,modelled,Fryer 1957,,,,,,
17,6,17,6,1,1,17.1,6.1,1,predation,modelled,Williamson 1987,,,,,,
18,6,18,6,1,1,18.1,6.1,1,predation,inferred,,,,,,,
19,6,19,6,1,1,19.1,6.1,1,predation,modelled,"McLay 1978, Diner et al. 1986",,,,,,
26,6,23,6,1,1,23.1,6.1,1,predation,modelled,Plague 1996,,,,,,
28,6,24,6,1,1,24.1,6.1,1,predation,modelled,"Gittleman 1978, Murdoch et al. 1984, Giller 1986, Blaustein 1998, Gilbert and Burns 1999",,,,,,
29,6,24,6,2,1,24.2,6.1,1,predation,modelled,"Gittleman 1978, Murdoch et al. 1984, Giller 1986, Blaustein 1998, Gilbert and Burns 1999",,,,,,
48,6,32,6,2,1,32.2,6.1,1,predation,modelled,Van Buskirk 1988,,,,,,
50,6,33,6,2,1,33.2,6.1,1,predation,modelled,,,,,,,
52,6,34,6,2,1,34.2,6.1,1,predation,modelled,,,,,,,
54,6,35,6,2,1,35.2,6.1,1,predation,modelled,"Folsom and Collins 1984, Van Buskirk 1988, Turner and Chislock 2007",,,,,,
55,6,36,6,1,1,36.1,6.1,1,predation,modelled,Petranka 1998,,,,,,
56,6,36,6,2,1,36.2,6.1,1,predation,modelled,Petranka 1998,,,,,,
67,6,44,6,1,1,44.1,6.1,1,predation,modelled,Terres 1995,,,,,,
102,6,60,6,4,1,60.4,6.1,12,trophically transmitted parasitism,observed,,,,,,,
6,7,6,7,1,1,6.1,7.1,1,predation,modelled,,,,,,,
7,7,7,7,1,1,7.1,7.1,1,predation,modelled,,,,,,,
9,7,9,7,1,1,9.1,7.1,1,predation,modelled,Smith and Kaster 1986,,,,,,
