"node","taxa.ID","nodeID","Lifestyle","n.lifestages","LS"
"Species 220","Species 220",266,"infectious",1,0
"Species 221","Species 221",267,"infectious",1,0
"Species 222","Species 222",268,"infectious",1,0
"Species 223","Species 223",269,"infectious",1,0
"Species 224","Species 224",270,"infectious",1,0
"Species 226","Species 226",272,"infectious",1,0
"Species 227","Species 227",273,"infectious",1,0
"Species 228","Species 228",274,"infectious",1,0
"Species 230","Species 230",276,"infectious",1,0
"Species 231","Species 231",277,"infectious",1,0
"Species 232","Species 232",278,"infectious",1,0
"Species 233","Species 233",341.25,"infectious",4,1
"Species 234","Species 234",342.25,"infectious",4,1
"Species 235","Species 235",321.666666666667,"infectious",3,1
"Species 236","Species 236",322.666666666667,"infectious",3,1
"Species 237","Species 237",343,"infectious",4,1
"Species 238","Species 238",344,"infectious",4,1
"Species 239","Species 239",346.25,"infectious",4,1
"Species 242","Species 242",353.666666666667,"infectious",3,1
"Species 243","Species 243",354.666666666667,"infectious",3,1
"Species 244","Species 244",355.666666666667,"infectious",3,1
"Species 245","Species 245",348.5,"infectious",4,1
"Species 246","Species 246",352,"infectious",4,1
"Species 247","Species 247",353,"infectious",4,1
"Species 248","Species 248",359.333333333333,"infectious",3,1
"Species 249","Species 249",295,"infectious",1,0
"Species 250","Species 250",355,"infectious",4,1
"Species 252","Species 252",362.666666666667,"infectious",3,1
"Species 253","Species 253",363.666666666667,"infectious",3,1
"Species 258","Species 258",368.666666666667,"infectious",3,1
"Species 259","Species 259",369.666666666667,"infectious",3,1
"Species 260","Species 260",370.666666666667,"infectious",3,1
"Species 261","Species 261",364,"infectious",4,1
"Species 264","Species 264",374.666666666667,"infectious",3,1
"Species 265","Species 265",367.25,"infectious",4,1
"Species 266","Species 266",361,"infectious",4,1
"Species 267","Species 267",377.333333333333,"infectious",3,1
"Species 268","Species 268",369.75,"infectious",4,1
"Species 269","Species 269",370.75,"infectious",4,1
"Species 270","Species 270",380.333333333333,"infectious",3,1
"Species 271","Species 271",372.5,"infectious",4,1
"Species 272","Species 272",373.5,"infectious",4,1
"Species 273","Species 273",374.5,"infectious",4,1
"Species 274","Species 274",384.333333333333,"infectious",3,1
"Species 275","Species 275",376.25,"infectious",4,1
"Species 276","Species 276",377.25,"infectious",4,1
"Species 277","Species 277",378.25,"infectious",4,1
"Species 278","Species 278",375.666666666667,"infectious",3,1
"Species 281","Species 281",347.5,"infectious",2,1
"Species 282","Species 282",374.5,"infectious",2,1
"Species 283","Species 283",453.333333333333,"infectious",3,1
"Species 284","Species 284",454,"infectious",2,1
"Species 285","Species 285",455.5,"infectious",2,1
"Species 286","Species 286",456,"infectious",3,1
"Species 287","Species 287",457,"infectious",3,1
"Species 288","Species 288",458,"infectious",3,1
"Species 289","Species 289",459,"infectious",3,1
"Species 290","Species 290",460,"infectious",3,1
"Species 293","Species 293",474.5,"infectious",2,1
"Species 295","Species 295",472,"infectious",1,0
"Species 296","Species 296",473,"infectious",1,0
"Species 297","Species 297",474,"infectious",1,0
"Species 298","Species 298",475,"infectious",1,0
"Species 299","Species 299",476,"infectious",1,0
"Species 301","Species 301",478,"infectious",1,0
"Species 302","Species 302",481,"infectious",1,0
"Species 303","Species 303",484,"infectious",2,1
"Species 304","Species 304",485,"infectious",2,1
"Species 305","Species 305",486,"infectious",2,1
"Species 307","Species 307",490,"infectious",1,0
"Species 310","Species 310",495,"infectious",2,1
"Species 313","Species 313",497.5,"infectious",2,1
"Species 314","Species 314",500,"infectious",1,0
