"node","taxa.ID","nodeID","Lifestyle","n.lifestages","n.LS"
"Species 221","Species 175",221,"free-living",1,0
"Species 224","Species 178",224,"free-living",1,0
"Species 225","Species 179",225,"free-living",1,0
"Species 226","Species 180",226,"free-living",1,0
"Species 227","Species 181",227,"free-living",1,0
"Species 228","Species 182",228,"free-living",1,0
"Species 230","Species 184",230,"free-living",1,0
"Species 232","Species 186",232,"free-living",1,0
"Species 235","Species 189",235,"free-living",1,0
"Species 236","Species 190",236,"free-living",1,0
"Species 237","Species 191",237,"free-living",1,0
"Species 241","Species 195",241,"free-living",1,0
"Species 242","Species 196",242,"free-living",1,0
"Species 243","Species 197",243,"free-living",1,0
"Species 244","Species 198",244,"free-living",1,0
"Species 245","Species 199",245,"free-living",1,0
"Species 246","Species 200",246,"free-living",1,0
"Species 249","Species 203",249,"free-living",1,0
"Species 251","Species 205",251,"free-living",1,0
"Species 252","Species 206",252,"free-living",1,0
"Species 253","Species 207",253,"free-living",1,0
"Species 254","Species 208",254,"free-living",1,0
"Species 255","Species 209",255,"free-living",1,0
"Species 257","Species 211",257,"commensal",1,0
"Species 260","Species 214",260,"infectious",1,0
"Species 261","Species 215",261,"infectious",1,0
"Species 266","Species 220",266,"infectious",1,0
"Species 267","Species 221",267,"infectious",1,0
"Species 268","Species 222",268,"infectious",1,0
"Species 269","Species 223",269,"infectious",1,0
"Species 270","Species 224",270,"infectious",1,0
"Species 272","Species 226",272,"infectious",1,0
"Species 273","Species 227",273,"infectious",1,0
"Species 274","Species 228",274,"infectious",1,0
"Species 276","Species 230",276,"infectious",1,0
"Species 277","Species 231",277,"infectious",1,0
"Species 278","Species 232",278,"infectious",1,0
"Species 279","Species 233",279,"infectious",4,1
"Species 280","Species 234",280,"infectious",4,1
"Species 281","Species 235",281,"infectious",3,1
"Species 282","Species 236",282,"infectious",3,1
"Species 283","Species 237",283,"infectious",4,1
"Species 284","Species 238",284,"infectious",4,1
"Species 285","Species 239",285,"infectious",4,1
"Species 288","Species 242",288,"infectious",3,1
"Species 289","Species 243",289,"infectious",3,1
"Species 290","Species 244",290,"infectious",3,1
"Species 291","Species 245",291,"infectious",4,1
"Species 292","Species 246",292,"infectious",4,1
"Species 293","Species 247",293,"infectious",4,1
"Species 294","Species 248",294,"infectious",3,1
"Species 295","Species 249",295,"infectious",1,0
"Species 296","Species 250",296,"infectious",4,1
"Species 298","Species 252",298,"infectious",3,1
"Species 299","Species 253",299,"infectious",3,1
"Species 304","Species 258",304,"infectious",3,1
"Species 305","Species 259",305,"infectious",3,1
"Species 306","Species 260",306,"infectious",3,1
"Species 307","Species 261",307,"infectious",4,1
"Species 310","Species 264",310,"infectious",3,1
"Species 311","Species 265",311,"infectious",4,1
"Species 312","Species 266",312,"infectious",4,1
"Species 313","Species 267",313,"infectious",3,1
"Species 314","Species 268",314,"infectious",4,1
"Species 315","Species 269",315,"infectious",4,1
"Species 316","Species 270",316,"infectious",3,1
"Species 317","Species 271",317,"infectious",4,1
"Species 318","Species 272",318,"infectious",4,1
"Species 319","Species 273",319,"infectious",4,1
"Species 320","Species 274",320,"infectious",3,1
"Species 321","Species 275",321,"infectious",4,1
"Species 322","Species 276",322,"infectious",4,1
"Species 323","Species 277",323,"infectious",4,1
"Species 324","Species 278",324,"infectious",3,1
"Species 327","Species 233",327,"infectious",4,1
"Species 328","Species 234",328,"infectious",4,1
"Species 329","Species 235",329,"infectious",3,1
"Species 330","Species 236",330,"infectious",3,1
"Species 331","Species 237",331,"infectious",4,1
"Species 332","Species 238",332,"infectious",4,1
"Species 333","Species 239",333,"infectious",4,1
"Species 334","Species 281",334,"infectious",2,1
"Species 335","Species 245",335,"infectious",4,1
"Species 336","Species 246",336,"infectious",4,1
"Species 337","Species 247",337,"infectious",4,1
"Species 338","Species 250",338,"infectious",4,1
"Species 341","Species 261",341,"infectious",4,1
"Species 342","Species 265",342,"infectious",4,1
"Species 343","Species 266",343,"infectious",4,1
"Species 344","Species 268",344,"infectious",4,1
"Species 345","Species 269",345,"infectious",4,1
"Species 346","Species 271",346,"infectious",4,1
"Species 347","Species 272",347,"infectious",4,1
"Species 348","Species 273",348,"infectious",4,1
"Species 349","Species 275",349,"infectious",4,1
"Species 350","Species 276",350,"infectious",4,1
"Species 351","Species 277",351,"infectious",4,1
