"resource","consumer"
"Species 406","Species 77"
"Species 414","Species 77"
"Species 417","Species 77"
"Species 427","Species 77"
"Species 475","Species 77"
"Species 2","Species 79"
"Species 6","Species 79"
"Species 12","Species 79"
"Species 354","Species 79"
"Species 355","Species 79"
"Species 356","Species 79"
"Species 357","Species 79"
"Species 359","Species 79"
"Species 361","Species 79"
"Species 362","Species 79"
"Species 363","Species 79"
"Species 364","Species 79"
"Species 367","Species 79"
"Species 368","Species 79"
"Species 371","Species 79"
"Species 372","Species 79"
"Species 378","Species 79"
"Species 384","Species 79"
"Species 387","Species 79"
"Species 388","Species 79"
"Species 389","Species 79"
"Species 390","Species 79"
"Species 391","Species 79"
"Species 392","Species 79"
"Species 393","Species 79"
"Species 394","Species 79"
"Species 395","Species 79"
"Species 396","Species 79"
"Species 397","Species 79"
"Species 398","Species 79"
"Species 2","Species 80"
"Species 2","Species 81"
"Species 135","Species 82"
"Species 140","Species 82"
"Species 413","Species 82"
"Species 415","Species 82"
"Species 416","Species 82"
"Species 426","Species 82"
"Species 442","Species 82"
"Species 454","Species 82"
"Species 455","Species 82"
"Species 456","Species 82"
"Species 457","Species 82"
"Species 458","Species 82"
"Species 459","Species 82"
"Species 479","Species 82"
"Species 497","Species 82"
"Species 499","Species 82"
"Species 6","Species 83"
"Species 12","Species 83"
"Species 47","Species 83"
"Species 48","Species 83"
"Species 51","Species 83"
"Species 52","Species 83"
"Species 53","Species 83"
"Species 54","Species 83"
"Species 55","Species 83"
"Species 56","Species 83"
"Species 57","Species 83"
"Species 58","Species 83"
"Species 69","Species 83"
"Species 70","Species 83"
"Species 99","Species 83"
"Species 100","Species 83"
"Species 101","Species 83"
"Species 102","Species 83"
"Species 103","Species 83"
"Species 104","Species 83"
"Species 108","Species 83"
"Species 109","Species 83"
"Species 111","Species 83"
"Species 113","Species 83"
"Species 114","Species 83"
"Species 353","Species 83"
"Species 354","Species 83"
"Species 355","Species 83"
"Species 356","Species 83"
"Species 357","Species 83"
"Species 358","Species 83"
"Species 359","Species 83"
"Species 361","Species 83"
"Species 362","Species 83"
"Species 363","Species 83"
"Species 364","Species 83"
"Species 365","Species 83"
"Species 366","Species 83"
"Species 367","Species 83"
"Species 368","Species 83"
"Species 369","Species 83"
"Species 371","Species 83"
"Species 372","Species 83"
"Species 377","Species 83"
"Species 378","Species 83"
"Species 379","Species 83"
"Species 380","Species 83"
"Species 383","Species 83"
"Species 384","Species 83"
"Species 385","Species 83"
"Species 386","Species 83"
"Species 387","Species 83"
"Species 388","Species 83"
"Species 389","Species 83"
"Species 390","Species 83"
"Species 391","Species 83"
"Species 392","Species 83"
"Species 393","Species 83"
"Species 394","Species 83"
"Species 395","Species 83"
"Species 396","Species 83"
"Species 397","Species 83"
"Species 398","Species 83"
"Species 6","Species 84"
"Species 12","Species 84"
"Species 47","Species 84"
"Species 48","Species 84"
"Species 51","Species 84"
"Species 52","Species 84"
"Species 53","Species 84"
"Species 54","Species 84"
"Species 55","Species 84"
"Species 56","Species 84"
"Species 57","Species 84"
"Species 58","Species 84"
"Species 69","Species 84"
"Species 70","Species 84"
"Species 99","Species 84"
"Species 100","Species 84"
"Species 101","Species 84"
"Species 102","Species 84"
"Species 103","Species 84"
"Species 104","Species 84"
"Species 108","Species 84"
"Species 109","Species 84"
"Species 111","Species 84"
"Species 113","Species 84"
"Species 114","Species 84"
"Species 353","Species 84"
"Species 354","Species 84"
"Species 355","Species 84"
"Species 356","Species 84"
"Species 357","Species 84"
"Species 358","Species 84"
"Species 359","Species 84"
"Species 361","Species 84"
"Species 362","Species 84"
"Species 363","Species 84"
"Species 364","Species 84"
"Species 365","Species 84"
"Species 366","Species 84"
"Species 367","Species 84"
"Species 368","Species 84"
"Species 369","Species 84"
"Species 371","Species 84"
"Species 372","Species 84"
"Species 377","Species 84"
"Species 378","Species 84"
"Species 379","Species 84"
"Species 380","Species 84"
"Species 383","Species 84"
"Species 384","Species 84"
"Species 385","Species 84"
"Species 386","Species 84"
"Species 387","Species 84"
"Species 388","Species 84"
"Species 389","Species 84"
"Species 390","Species 84"
"Species 391","Species 84"
"Species 392","Species 84"
"Species 393","Species 84"
"Species 394","Species 84"
"Species 395","Species 84"
"Species 396","Species 84"
"Species 397","Species 84"
"Species 398","Species 84"
"Species 12","Species 85"
"Species 2","Species 86"
"Species 12","Species 86"
"Species 47","Species 86"
"Species 48","Species 86"
"Species 51","Species 86"
"Species 52","Species 86"
"Species 53","Species 86"
"Species 54","Species 86"
"Species 55","Species 86"
"Species 56","Species 86"
"Species 57","Species 86"
"Species 58","Species 86"
"Species 69","Species 86"
"Species 70","Species 86"
"Species 99","Species 86"
"Species 100","Species 86"
"Species 101","Species 86"
"Species 102","Species 86"
"Species 103","Species 86"
"Species 104","Species 86"
"Species 108","Species 86"
"Species 109","Species 86"
"Species 111","Species 86"
"Species 113","Species 86"
"Species 114","Species 86"
"Species 6","Species 87"
"Species 12","Species 87"
"Species 47","Species 87"
"Species 48","Species 87"
"Species 51","Species 87"
"Species 52","Species 87"
"Species 53","Species 87"
"Species 54","Species 87"
"Species 55","Species 87"
"Species 56","Species 87"
"Species 57","Species 87"
"Species 58","Species 87"
"Species 69","Species 87"
"Species 70","Species 87"
"Species 99","Species 87"
"Species 100","Species 87"
"Species 101","Species 87"
"Species 102","Species 87"
"Species 103","Species 87"
"Species 104","Species 87"
"Species 108","Species 87"
"Species 109","Species 87"
"Species 111","Species 87"
"Species 113","Species 87"
"Species 114","Species 87"
"Species 353","Species 87"
"Species 354","Species 87"
"Species 355","Species 87"
"Species 356","Species 87"
"Species 357","Species 87"
"Species 358","Species 87"
"Species 359","Species 87"
"Species 361","Species 87"
"Species 362","Species 87"
"Species 363","Species 87"
"Species 364","Species 87"
"Species 365","Species 87"
"Species 366","Species 87"
"Species 367","Species 87"
"Species 368","Species 87"
"Species 369","Species 87"
"Species 371","Species 87"
"Species 372","Species 87"
"Species 377","Species 87"
"Species 378","Species 87"
"Species 379","Species 87"
"Species 380","Species 87"
"Species 383","Species 87"
"Species 384","Species 87"
"Species 385","Species 87"
"Species 386","Species 87"
"Species 387","Species 87"
"Species 388","Species 87"
"Species 389","Species 87"
"Species 390","Species 87"
"Species 391","Species 87"
"Species 392","Species 87"
"Species 393","Species 87"
"Species 394","Species 87"
"Species 395","Species 87"
"Species 396","Species 87"
"Species 397","Species 87"
"Species 398","Species 87"
"Species 2","Species 88"
"Species 6","Species 88"
"Species 12","Species 88"
"Species 353","Species 88"
"Species 354","Species 88"
"Species 355","Species 88"
"Species 356","Species 88"
"Species 357","Species 88"
"Species 358","Species 88"
"Species 359","Species 88"
"Species 361","Species 88"
"Species 362","Species 88"
"Species 363","Species 88"
"Species 364","Species 88"
"Species 365","Species 88"
"Species 366","Species 88"
"Species 367","Species 88"
"Species 368","Species 88"
"Species 369","Species 88"
"Species 371","Species 88"
"Species 372","Species 88"
"Species 377","Species 88"
"Species 378","Species 88"
"Species 379","Species 88"
"Species 380","Species 88"
"Species 383","Species 88"
"Species 384","Species 88"
"Species 385","Species 88"
"Species 386","Species 88"
"Species 387","Species 88"
"Species 388","Species 88"
